Date,Production Rate
01-01-2006,670
02-01-2006,1877
03-01-2006,3125
04-01-2006,2609
05-01-2006,3057
06-01-2006,2985
07-01-2006,2987
08-01-2006,3047
09-01-2006,3057
10-01-2006,3030
11-01-2006,2908
12-01-2006,1852
13-01-2006,3127
14-01-2006,3046
15-01-2006,3047
16-01-2006,3036
17-01-2006,2972
18-01-2006,3071
19-01-2006,3068
20-01-2006,3067
21-01-2006,3044
22-01-2006,2983
23-01-2006,0
24-01-2006,2953
25-01-2006,2659
26-01-2006,2580
27-01-2006,2999
28-01-2006,3022
29-01-2006,3011
30-01-2006,2795
31-01-2006,3060
01-02-2006,2966
02-02-2006,3132
03-02-2006,3136
04-02-2006,3144
05-02-2006,3133
06-02-2006,3141
07-02-2006,3158
08-02-2006,3193
09-02-2006,3173
10-02-2006,3161
11-02-2006,3154
12-02-2006,3132
13-02-2006,962
14-02-2006,0
15-02-2006,73
16-02-2006,3140
17-02-2006,1433
18-02-2006,1953
19-02-2006,3064
20-02-2006,3057
21-02-2006,3106
22-02-2006,3114
23-02-2006,3306
24-02-2006,3181
25-02-2006,3151
26-02-2006,3058
27-02-2006,3031
28-02-2006,3007
01-03-2006,3026
02-03-2006,1618
03-03-2006,432
04-03-2006,2583
05-03-2006,2498
06-03-2006,2852
07-03-2006,1122
08-03-2006,2450
09-03-2006,2516
10-03-2006,2756
11-03-2006,2755
12-03-2006,2739
13-03-2006,2722
14-03-2006,2824
15-03-2006,2732
16-03-2006,2751
17-03-2006,1989
18-03-2006,552
19-03-2006,3026
20-03-2006,3171
21-03-2006,3168
22-03-2006,3177
23-03-2006,3193
24-03-2006,3191
25-03-2006,3181
26-03-2006,3175
27-03-2006,3176
28-03-2006,3188
29-03-2006,3422
30-03-2006,3709
31-03-2006,4010
01-04-2006,4261
02-04-2006,4288
03-04-2006,4449
04-04-2006,4592
05-04-2006,4686
06-04-2006,4698
07-04-2006,4697
08-04-2006,4895
09-04-2006,5023
10-04-2006,5026
11-04-2006,5039
