NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,Date,total
5599,15/9-F-12,11.5,308.056,104.418,201.25,18.64,14.48443,106.806,16.295,92.475,285,38889,385,01-01-2006,670
5599,15/9-F-12,24,303.034,105.403,182.145,16.467,22.83299,120.889,53.374,89.62,1870,285246,7,02-01-2006,1877
5599,15/9-F-12,22.5,295.586,105.775,181.868,12.66,31.24997,113.718,72.738,80.12,3124,509955,1,03-01-2006,3125
5599,15/9-F-12,23.15,297.663,105.752,180.832,5.264,28.51893,116.831,69.996,84.251,2608,383427,1,04-01-2006,2609
5599,15/9-F-12,24,295.936,105.811,180.501,12.385,30.2279,115.434,71.518,82.359,3052,418474,5,05-01-2006,3057
5599,15/9-F-12,24,295.552,105.831,180.346,14.385,29.97405,115.206,73.642,82.169,2983,422763,2,06-01-2006,2985
5599,15/9-F-12,23,294.211,105.866,180.929,15.98,30.3084,113.282,74.16,80.263,2981,413831,6,07-01-2006,2987
5599,15/9-F-12,24,293.829,105.868,180.06,18.811,30.48698,113.769,74.902,81.275,3046,429218,1,08-01-2006,3047
5599,15/9-F-12,24,293.061,105.879,179.662,19.741,29.90702,113.4,73.039,80.774,3057,442983,0,09-01-2006,3057
5599,15/9-F-12,24,,105.883,179.434,19.432,30.49301,113.106,,79.975,3030,423809,0,10-01-2006,3030
5599,15/9-F-12,23.67,292.362,105.882,179.282,1.039,29.63448,113.079,72.327,79.948,2908,397808,0,11-01-2006,2908
5599,15/9-F-12,15.14,292.088,105.849,179.486,11.011,28.95718,112.603,69.597,79.162,1852,252078,0,12-01-2006,1852
5599,15/9-F-12,24,290.542,105.906,179.355,8.583,30.79962,111.187,73.193,77.932,3127,442808,0,13-01-2006,3127
5599,15/9-F-12,24,290.208,105.896,178.758,12.304,30.68344,111.45,73.108,78.257,3046,439178,0,14-01-2006,3046
5599,15/9-F-12,24,289.536,105.902,178.603,12.506,30.92304,110.934,72.308,77.723,3047,446905,0,15-01-2006,3047
5599,15/9-F-12,24,288.933,105.902,178.608,12.376,30.84932,110.326,74.702,77.128,3036,445616,0,16-01-2006,3036
5599,15/9-F-12,23.67,288.848,105.896,178.22,10.15,29.90044,110.629,73.451,77.465,2972,424674,0,17-01-2006,2972
5599,15/9-F-12,24,,105.907,178.067,11.424,,109.447,73.396,76.212,3071,450348,0,18-01-2006,3071
5599,15/9-F-12,24,286.892,105.909,178.065,11.156,31.06188,108.827,74.604,75.573,3068,447584,0,19-01-2006,3068
5599,15/9-F-12,24,286.265,105.911,177.944,11.223,31.08744,108.321,75.218,74.762,3067,446144,0,20-01-2006,3067
5599,15/9-F-12,24,285.728,105.91,177.669,10.866,30.96447,108.059,75.124,74.361,3044,443726,0,21-01-2006,3044
5599,15/9-F-12,24,285.382,105.904,177.307,9.829,30.60221,108.075,74.281,74.441,2983,430247,0,22-01-2006,2983
5599,15/9-F-12,24,284.829,105.902,176.96,9.323,30.57649,107.869,72.5,74.262,,437688,0,23-01-2006,0
